"id","company_name","date","rd_budget","buget_use_rate","capital","turnover","net_income","income_capital_ratio","income_per_capital","all_capital","debt","SH_equity","cost","EPS","outside_income","season","month","update_time"
"51244","4138 曜亞","2011","0","0","551835","136284","97817","36.91","37.22","1304554","429778","874776","317734","2.97","0.15","2","6","2022-03-31 21:41:02"
"85358","6015 宏遠證","2015","0","0","305942","654030","424951","9.96","7.1","11667960","7078423","4589537","0","0.74","39.8","3","9","2022-03-31 21:58:57"
"61293","4114 健喬","2012","96631","9.07","1065018","507078","10601","1.17","10.38","2087955","938000","1149955","547339","1.14","7.85","4","12","2022-03-31 21:46:19"
"46517","1469 理隆","2010","0","0","744130","63112","59095","4.74","2.68","2127252","629335","1497917","621923","0.26","3.46","4","12","2022-03-31 21:38:33"
"24491","8033 雷虎","2007","26886","3.43","783335","276332","107492","12.97","13.45","1796341","627430","1168911","399511","1.2","0.51","2","6","2022-03-31 21:27:00"
"48148","3605 宏致","2011","48367","4.8","1007171","173751","199360","16.07","19.52","6402096","2775009","3627087","634060","1.36","4.24","1","3","2022-03-31 21:39:24"
"104285","5353 台林","2017","63588","4.81","1322152","193271","26493","3.53","4.47","1619649","562737","1056912","1102388","0.38","0.53","4","12","2022-03-31 22:08:54"
"45288","9912 偉聯","2010","3984","0.78","510657","187581","11769","2.55","7.43","871398","452675","418723","334845","0.95","4.4","3","9","2022-03-31 21:37:53"
"113917","2492 華新科","2019","193497","2.33","8294214","805199","2736120","56.32","62.53","62876905","21501126","41375779","4752895","4.77","3.64","1","3","2022-03-31 22:13:56"
"9041","2362 藍天","2001","283361","3.17","8931716","720562","470867","10.86","9.34","8572612","2966389","5606223","7740287","1.06","0.74","4","12","2022-03-31 21:19:04"
"74139","2368 金像電","2014","174582","2","8734450","843877","51094","0.9","2.24","21493238","15157780","6335458","7774387","0.28","2.04","2","6","2022-03-31 21:53:01"
"31941","3356 奇偶","2008","156001","10.1","1544038","412893","632799","131.49","138.52","1869790","545516","1324274","498346","12.49","2.19","4","12","2022-03-31 21:30:53"
"53420","2733 維格","2011","0","0","700660","225487","57210","38.14","37.53","612566","414948","197618","417963","3.06","0.13","4","12","2022-03-31 21:42:11"
"17310","4119 旭富","2005","8011","3.53","227118","27124","16127","4.96","4.13","884203","146693","737510","183867","0.32","1.19","2","6","2022-03-31 21:23:19"
"111496","1409 新纖","2018","355649","0.85","41701958","3197894","3380467","20.89","22.46","143864326","106899144","36965182","35123597","1.52","0.61","4","12","2022-03-31 22:12:42"
"95560","8487 愛爾達","2016","8722","1.1","793908","81306","28731","15.96","8.1","373567","176523","197044","741333","0.78","1.78","4","12","2022-03-31 22:04:20"
"57872","1524 耿鼎","2012","2056","0.15","1379619","161428","50425","3.1","3.5","5447564","3424502","2023062","1268616","0.3","0.47","2","6","2022-03-31 21:44:31"
"35073","5843 兆豐商銀","2009","0","0","11407252","3565688","0","0","5.26","2250359155","2107288107","143071048","0","0.41","0","1","3","2022-03-31 21:32:32"
"94751","2492 華新科","2016","539137","2.92","18490529","2070141","2299059","44.38","50.96","28799403","12573235","16226168","14121329","3.95","1.84","4","12","2022-03-31 22:03:54"
"22734","8182 加高","2006","23079","0.7","3287694","260334","317643","39.88","37.68","3490805","1843565","1647240","2709717","2.84","0.53","4","12","2022-03-31 21:26:06"
"68696","6121 新普","2013","661496","1.76","37520487","1793451","2398084","77.79","91.69","38541712","20867811","17673901","33328952","7.14","1.14","3","9","2022-03-31 21:50:11"
"20331","2331 精英","2006","286558","0.7","40965062","2172564","251576","2.35","3.09","36156317","16054941","20101376","38541087","0.27","0.19","2","6","2022-03-31 21:24:52"
"66764","4119 旭富","2013","15213","2.36","644017","76820","124306","23.33","22.76","2221130","1003850","1217280","442891","2.03","0.47","2","6","2022-03-31 21:49:10"
"110134","TEJN18 傳產 海空運","2018","0","0","580391309","40977436","9867645","4.32","4.56","1187950084","817951520","369998564","530951200","0.31","0.1","3","9","2022-03-31 22:11:59"
"94992","7534 安博森","2016","0","0","2739","3520","3015","30.15","29.99","4249","1270","2979","2234","3","0.58","4","12","2022-03-31 22:04:02"
"78728","8466 美吉吉KY","2014","10382","0.26","4032233","414669","571169","97.27","78.88","3173422","1430664","1742758","3046395","5.81","2.68","4","12","2022-03-31 21:55:26"
"95660","5468 凱鈺","2016","38721","20.24","191263","119642","73129","10.47","10.59","530104","149012","381092","146000","1.22","0.43","4","12","2022-03-31 22:04:23"
"98838","000930 華南永昌證券","2017","0","0","1326184","1073156","100139","1.23","3.55","41865346","30195637","11669709","0","0.33","14.14","2","6","2022-03-31 22:06:02"
"101437","6438 迅得","2017","127257","5.35","2378225","374157","319865","60.58","61.2","3504728","2135307","1369421","1684203","5.04","0.14","3","9","2022-03-31 22:07:25"
"55157","4722 國精化","2011","21045","0.51","4118452","292286","116488","15.61","17.31","2669863","1460006","1209857","3709678","1.46","0.31","4","12","2022-03-31 21:43:06"
"57390","2923 鼎固KY","2012","0","0","5678283","388425","2230475","13.27","11.27","73554236","44985404","28568832","3059383","0.53","5.91","2","6","2022-03-31 21:44:16"
"70118","8053 巨擘","2013","189236","3.45","5492745","2962795","2693159","65.4","65.22","5805999","4034742","1771257","5223109","6.74","0.13","4","12","2022-03-31 21:50:55"
"42531","3638 FIML","2010","211084","15.67","1347187","394983","347668","47.86","47.66","3562655","457673","3104982","604536","8.73","0.11","2","6","2022-03-31 21:36:27"
"114055","8084 巨虹","2019","0","0","468794","45666","19024","2.84","2.49","1427943","648187","779756","442152","0.28","0.49","1","3","2022-03-31 22:14:01"
"62854","4904 遠傳","2012","0","0","86665697","21421822","13747957","42.19","39.92","99215640","25243701","73971939","51495918","3.25","0.85","4","12","2022-03-31 21:47:08"
"111958","7487 同仁生","2018","0","0","43515","1539","8155","7.61","8.1","156917","41263","115654","33821","0.65","1.21","4","12","2022-03-31 22:12:56"
"48256","3323 加百裕","2011","30073","2.59","1161180","115918","2877","0.27","0.47","4513278","1629055","2884223","1042385","0.01","0.19","1","3","2022-03-31 21:39:28"
"114709","4909 新復興","2019","4348","1.95","223513","26499","809","0.09","2.03","3460991","811947","2649044","196205","0.16","8.12","1","3","2022-03-31 22:14:21"
"76529","8444 綠河KY","2014","0","0","1774578","223241","227243","34.12","29.63","2859047","1300621","1558426","1324094","3.03","1.68","3","9","2022-03-31 21:54:17"
"61915","2816 旺旺保","2012","0","0","4630212","1211861","194870","9.74","10.68","13384651","11153558","2231093","0","1.11","0.4","4","12","2022-03-31 21:46:38"
"18705","6604 儒億","2005","68553","3.63","1888319","231564","85717","13.11","17.47","2283257","1658964","624293","1744116","1.59","1.51","4","12","2022-03-31 21:24:02"
"111542","1232 大統益","2018","7965","0.05","16948746","745148","1111880","69.5","72.26","5470902","1528622","3942280","15091718","5.67","0.26","4","12","2022-03-31 22:12:43"
"123778","4510 高鋒","2020","19254","2.35","818428","128037","20226","1.87","2.34","4221662","2176442","2045220","710617","0.19","0.62","2","6","2022-03-31 22:19:10"
"35486","3290 東浦","2009","10886","2.01","541764","122313","7104","0.96","2.09","1406541","580643","825898","412347","0.12","1.55","2","6","2022-03-31 21:32:45"
"24116","2060 永發","2007","0","0","879996","49254","9940","2.78","3.17","1451996","1061211","390785","840682","0.15","0.16","2","6","2022-03-31 21:26:49"
"27124","2485 兆赫","2008","91554","3.39","2698751","276621","615810","23.44","18.18","8375615","2464505","5911110","1806320","1.52","5.12","1","3","2022-03-31 21:28:21"
"88912","6281 全國電","2016","0","0","4778539","753553","243876","24.59","25.08","5616295","3145513","2470782","3781110","2.08","0.1","1","3","2022-03-31 22:00:50"
"61913","2748 雲品","2012","0","0","0","0","0","0","0","100","0","100","0","0","0","4","12","2022-03-31 21:46:38"
"27318","3040 遠見","2008","21999","9.42","233605","76311","3295","0.27","11.44","2470802","353703","2117099","160589","0.83","60.45","1","3","2022-03-31 21:28:26"
"47388","4963 八陽","2010","51156","50.32","101653","85814","222411","19.91","21.98","2191111","1249517","941594","238250","2.95","22.77","4","12","2022-03-31 21:39:00"
"50468","2007 燁興","2011","0","0","6038164","114620","195317","3.1","1.61","14293632","7748772","6544860","5728227","0.13","1.55","2","6","2022-03-31 21:40:38"
"96286","3088 艾訊","2017","120689","11.53","1046832","307678","73667","9.32","4.31","3149186","1364393","1784793","665487","0.35","3.79","1","3","2022-03-31 22:04:43"
"80907","4944 兆遠","2015","38764","6.56","590813","88880","139846","6.66","6.99","5540416","1712431","3827985","641779","0.87","1.17","1","3","2022-03-31 21:56:34"
"80506","8255 朋程","2015","43301","4.82","897562","101910","181608","24.26","22.88","3676727","615776","3060951","614044","1.88","1.15","1","3","2022-03-31 21:56:22"
