ID,ticker_1,fullname_1,name_1,organization_type_1,publicated_1,ticker_2,fullname_2,name_2,country_code_2,organization_type_2,publicated_2,contract_content,contract_note,contract_category,contract_RD,cooperate_direction,starting_year,end_year,terminated_condition,terminated_condition_content,filed_year,privacy_policy,restrictions,sector,update_time
495,2330,台灣積體電路製造,台積電,公司,1,\N,某跨國公司,某跨國公司,\N,公司,0,"簽約雙方就特定之半導體專利達成交互授權之協議。台積
 公司應支付權利金予該簽約對象。",\N,授權,1,4,2001,2006,1,\N,2004,0,\N,智慧科技,########
496,2330,台灣積體電路製造,台積電,公司,1,\N,數家跨國公司,數家跨國公司,\N,公司,0,"簽約對象皆為台積公司客戶,他們預付款項予台積公司,以預
 訂數年之產能。",\N,授權,1,2,1995,2006,1,\N,2004,0,\N,智慧科技,########
497,2330,台灣積體電路製造,台積電,公司,1,5347,世界先進積體電路股份㈲限公司,世界先進,台灣,公司,1,"台積公司移轉特定技術予世界先進公司,並向世界先進公司收取權利金作
 為報酬。",\N,移轉,1,1,2004,2006,1,\N,2004,0,\N,智慧科技,########
498,2330,台灣積體電路製造,台積電,公司,1,5347,世界先進積體電路股份㈲限公司,世界先進,台灣,公司,1,"世界先進公司保留其特定產能予台積公司,並依雙方約
 定之條件為台積公司製造特定產品。",\N,授權,1,2,2004,2006,1,\N,2004,0,\N,智慧科技,########
499,2330,台灣積體電路製造,台積電,公司,1,\N,某跨國公司,某跨國公司,\N,公司,0,"簽約雙方就特定之半導體專利達成交互授權之協議。台積公
 司應支付權利金予該簽約對象。",\N,授權,1,4,2002,2012,1,\N,2004,0,\N,智慧科技,########
500,2330,台灣積體電路製造,台積電,公司,1,\N,某跨國公司,某跨國公司,\N,公司,0,"簽約雙方就特定之半導體專利達成交互授權之協議。台積
 公司應支付權利金予該簽約對象。",\N,授權,1,4,2002,2009,1,\N,2004,0,\N,智慧科技,########
501,2330,台灣積體電路製造,台積電,公司,1,\N,某跨國公司,某跨國公司,\N,公司,0,"簽約雙方就特定之半導體專利達成交互授權之協議。台積
 公司應支付權利金予該簽約對象。",\N,授權,1,4,2002,2011,1,\N,2004,0,\N,智慧科技,########
502,2330,台灣積體電路製造,台積電,公司,1,\N,"Freescale Semiconductor, Inc.",Freescale Semiconductor,美國,公司,0,簽約各方就特定之先進半導體技術達成共同開發技術之協議。,\N,合作開發,1,0,2001,2008,1,\N,2004,0,\N,智慧科技,########
503,2330,台灣積體電路製造,台積電,公司,1,\N,STMicroelectronics NV,STMicroelectronics,荷蘭,公司,0,簽約各方就特定之先進半導體技術達成共同開發技術之協議。,\N,合作開發,1,0,2001,2008,1,\N,2004,0,\N,智慧科技,########
504,2330,台灣積體電路製造,台積電,公司,1,\N,NXP B.V.,NXP,荷蘭,公司,0,簽約各方就特定之先進半導體技術達成共同開發技術之協議。,\N,合作開發,1,0,2001,2008,1,\N,2004,0,\N,智慧科技,########
505,2330,台灣積體電路製造,台積電,公司,1,\N,"Freescale Semiconductor, Inc.",Freescale Semiconductor,美國,公司,0,"簽約雙方就特定之先進絕緣層上覆矽製程技術進行合作,並且進
 行相關智慧財產權之交互授權。",\N,授權,1,4,2003,2007,1,\N,2004,0,\N,智慧科技,########
